time,open,high,low,close,symbol,Spread,涨跌幅,上涨,下跌,上涨数量,下跌数量,上涨比例,rank_涨跌幅,rank_sum,rank
2021-03-12 05:59:00,7.1045,7.1521,6.165,6.1778,HNT-USDT,0.0043570151194929,-0.130536360181836,0,1,50,44,0.5319148936170213,1.0,1.0,1.0
2021-03-12 17:59:00,0.4584,0.4589,0.325,0.3777,XEM-USDT,0.005591054313099,-0.17604712041884818,0,1,18,77,0.18947368421052632,1.0,1.0,1.0
2021-03-13 05:59:00,1.02494,1.04605,0.86313,0.90729,SKL-USDT,0.0040503303343182,-0.11393999765615836,0,1,42,53,0.4421052631578947,1.0,1.0,1.0
2021-03-13 17:59:00,0.6929,0.7697,0.5528,0.6004,CHR-USDT,0.0026720106880429,-0.13524413077920205,0,1,85,10,0.8947368421052632,1.0,1.0,1.0
2021-03-14 05:59:00,0.73374,0.75,0.5685,0.6178899999999999,CHZ-USDT,0.0032636227836591,-0.15824535113411897,0,1,22,73,0.23157894736842105,1.0,1.0,1.0
2021-03-14 17:59:00,7.4392,7.665,6.8552,6.8925,HNT-USDT,0.0002176752285589,-0.0731526927990318,0,1,25,70,0.2631578947368421,1.0,1.0,1.0
2021-03-15 05:59:00,3.74755,3.8439,3.28102,3.2815,BEL-USDT,0.002903422982885,-0.12461586068547525,0,1,19,76,0.2,1.0,1.0,1.0
2021-03-15 17:59:00,0.05268,0.056179,0.038133,0.041591,REEF-USDT,0.0059985971022906,-0.21112628504229725,0,1,32,64,0.3333333333333333,1.0,1.0,1.0
2021-03-16 05:59:00,2.93308,2.98,2.42051,2.44286,ENJ-USDT,0.001172131147541,-0.1672371004690738,0,1,18,79,0.18556701030927836,1.0,1.0,1.0
2021-03-16 17:59:00,22.081,22.5,15.557,15.91,ALICE-USDT,0.0006352241209064,-0.2810339373672557,0,1,75,22,0.7731958762886598,1.0,1.0,1.0
2021-03-17 05:59:00,7.5606,7.6463,6.7382,6.8366,HNT-USDT,0.000673302107728,-0.09563998095137305,0,1,69,28,0.711340206185567,1.0,1.0,1.0
2021-03-17 17:59:00,16.485,16.953,14.1,14.578,ALICE-USDT,0.0034761658922732,-0.1144453893816062,0,1,53,45,0.5408163265306123,1.0,1.0,1.0
2021-03-18 05:59:00,1.3512,1.3605,1.1858,1.2121,BAT-USDT,0.0009083402146985,-0.10307828918158946,0,1,84,14,0.8571428571428571,1.0,1.0,1.0
2021-03-18 17:59:00,19.749,19.82,15.828,16.983,ALICE-USDT,0.0025738810111339,-0.14092771510951485,0,1,56,43,0.5656565656565656,1.0,1.0,1.0
